,sectionid,sectionName,date,webTitle,weburl
0,politics,Politics,2022-08-28 09:20:54+00:00,Friend or foe: what world leaders think of Liz Truss,https://www.theguardian.com/politics/2022/aug/28/friend-or-foe-what-world-leaders-think-of-liz-truss
1,politics,Politics,2022-09-22 04:45:43+00:00,Liz Truss dismisses Putin’s nuclear threats as sign of desperation,https://www.theguardian.com/politics/2022/sep/21/liz-truss-dismisses-putins-nuclear-threats-as-statement-of-weakness
2,world,World news,2022-09-22 05:36:23+00:00,Thursday briefing: How to make sense of Putin’s nuclear threats,https://www.theguardian.com/world/2022/sep/22/thursday-briefing-vladimir-putin-russia-nuclear-war-threat-truss-biden
3,politics,Politics,2022-04-28 16:42:40+00:00,Liz Truss’s careless talk fans the flames of war in Ukraine | Letters,https://www.theguardian.com/politics/2022/apr/28/liz-truss-careless-talk-fans-the-flames-of-war-in-ukraine
4,commentisfree,Opinion,2022-04-27 17:52:30+00:00,The Guardian view on war in Ukraine: the stakes rise higher | Editorial,https://www.theguardian.com/commentisfree/2022/apr/27/the-guardian-view-on-war-in-ukraine-the-stakes-rise-higher
5,commentisfree,Opinion,2022-04-08 16:53:33+00:00,Putin still has friends in the west – and they’re gaining ground | Jonathan Freedland,https://www.theguardian.com/commentisfree/2022/apr/08/vladimir-putin-viktor-orban-eu-marine-le-pen
6,world,World news,2022-04-14 17:23:21+00:00,Can’t I be anti-Nato in the Labour party? | Brief letters,https://www.theguardian.com/world/2022/apr/14/cant-i-be-anti-nato-in-the-labour-party
7,commentisfree,Opinion,2022-09-07 15:14:44+00:00,"Watch out, Liz Truss: this energy crisis may spark a climate revolution we can all get behind | Zoe Williams",https://www.theguardian.com/commentisfree/2022/sep/07/liz-truss-energy-crisis-climate-bills
8,tv-and-radio,Television & radio,2022-05-31 21:05:38+00:00,Once Upon a Time in Londongrad review – a blazing fireball that could topple our democracy,https://www.theguardian.com/tv-and-radio/2022/may/31/once-upon-a-time-in-londongrad-review-putin-deaths-russian
9,politics,Politics,2022-09-07 21:47:17+00:00,As it happened: White House issues trade warning over Northern Ireland protocol,https://www.theguardian.com/politics/live/2022/sep/07/liz-truss-cabinet-news-pm-therese-coffey-uk-politics-live
10,news,News,2022-10-05 08:39:09+00:00,Britannia unhinged: Inside the 7 October edition of the Guardian Weekly,https://www.theguardian.com/news/2022/oct/05/britannia-unhinged-inside-the-7-october-edition-of-the-guardian-weekly
11,commentisfree,Opinion,2022-06-09 15:04:27+00:00,The west’s calls for a total victory in Ukraine can lead only to ruinous escalation | Simon Jenkins,https://www.theguardian.com/commentisfree/2022/jun/09/west-victory-in-ukraine-escalation-war
